run,imp,exit_code,theta_1,gamma_1,e_1,lnL,converged,combo,rep
283,1,3,0.00247648599908645,0.00411604287521101,0.049317973106806,19991.2459010238,True,n100_g0_e0.05,79
127,1,3,0.00242939536586734,0.225251655477233,0.0426473027441771,20196.8056559874,True,n100_g0_e0.05,7
115,1,3,0.00240935017751691,0.178474252823832,0.0393695378179201,19846.3959998003,True,n100_g0_e0.05,80
463,1,3,0.0025325514079306,0.0359491265946989,0.0613791181508438,20601.0276841268,True,n100_g0_e0.05,81
232,1,3,0.00252732845471301,-0.0820217346924931,0.0681427467055371,20206.4979140724,True,n100_g0_e0.05,82
202,1,3,0.00246800755340662,-0.061206304724942,0.0539789614219609,19753.6965186383,True,n100_g0_e0.05,83
360,1,3,0.0024925934078186,-0.00929743316054037,0.0500543421976616,20168.6910589967,True,n100_g0_e0.05,84
489,1,3,0.00249714181640783,0.0192422528582385,0.0395289108760639,20316.2717642353,True,n100_g0_e0.05,85
414,1,3,0.00252507028246194,-0.130324272313977,0.0429340046844385,20165.8883379321,True,n100_g0_e0.05,86
270,1,3,0.0024972518189239,-0.1002293792407,0.0533424219199453,19903.5558800897,True,n100_g0_e0.05,87
495,1,3,0.00240964975584153,0.212252694805942,0.0461911738223878,19961.2803255485,True,n100_g0_e0.05,88
350,1,3,0.00242404499461898,0.154746808010976,0.028692238811937,20023.3516560371,True,n100_g0_e0.05,89
233,1,3,0.00246535277212314,0.0244685382178745,0.0376295441709498,20063.9872058943,True,n100_g0_e0.05,8
489,1,3,0.00262446407526585,-0.013288899201849,0.0456299471569296,21451.8857391736,True,n100_g0_e0.05,90
397,1,3,0.00244786114988465,0.120580058881338,0.044354611489366,20066.2174958929,True,n100_g0_e0.05,91
64,1,3,0.00253193211269995,-0.0135216218294364,0.0460583475904899,20540.7769966365,True,n100_g0_e0.05,92
141,1,3,0.00244146627822293,0.194822974808857,0.0402851044855162,20271.707181803,True,n100_g0_e0.05,93
437,1,3,0.00246240943028055,-0.0888217709014088,0.0570630187014948,19615.350686476,True,n100_g0_e0.05,94
492,1,3,0.0024869440277461,0.0496119605997572,0.0481716316231075,20234.6423354665,True,n100_g0_e0.05,95
240,1,3,0.00245167193997587,0.0721637841687379,0.0501685338830935,19989.3040189321,True,n100_g0_e0.05,96
154,1,3,0.00252369928809742,-0.102176848983759,0.0372914658615377,20242.913669166,True,n100_g0_e0.05,97
242,1,3,0.00247691805106925,-0.00663454881545307,0.042879524585782,20041.2478015839,True,n100_g0_e0.05,98
34,1,3,0.0025885153574243,-0.0930977285367518,0.0449342406024245,20904.5289233965,True,n100_g0_e0.05,99
194,1,3,0.00259601217357824,-0.101157295182498,0.0494894716491232,20911.5475074569,True,n100_g0_e0.05,9
464,1,3,0.00255915965354675,-0.131353968093248,0.11264427068789,20215.723591081,True,n100_g0_e0.1,100
214,1,3,0.00252974258862185,-0.0747277605615637,0.10768445895809,20098.5514961796,True,n100_g0_e0.1,10
261,1,3,0.00241786775059006,0.111710791016706,0.0958369948848464,19558.0330643255,True,n100_g0_e0.1,11
189,1,3,0.00262810148138747,-0.250720077721481,0.115632027151177,20481.7488170094,True,n100_g0_e0.1,12
475,1,3,0.00235219356844154,0.489637664864337,0.0892184561094999,19923.3080007588,True,n100_g0_e0.1,13
489,1,3,0.00255645200009877,-0.10680929588288,0.109390496858758,20278.0667906735,True,n100_g0_e0.1,14
273,1,3,0.00254291152075071,-0.0418417889194953,0.101119611724164,20309.8647861278,True,n100_g0_e0.1,15
468,1,3,0.00249440752942389,0.0427667048448589,0.104625174889291,20066.3859382487,True,n100_g0_e0.1,16
150,1,3,0.00255888510931559,-0.349080674055658,0.111970589529493,19537.4858851524,True,n100_g0_e0.1,17
